,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
16,size=nan,0.0,,,,,,,
12,distance=nan,0.0,,,,,,,
4,gestation=1,0.001254576587115949,,,,,,,
3,gestation=0,0.003465734864193424,,,,,,,
2,menopause=1,0.0048433237908638745,,,,,,,
1,menopause=0,0.006697214396196082,,,,,,,
6,pain=1,0.02226730296920836,,,,,,,
15,size=1.0,0.029940800620950482,,,,,,,
11,distance=0.0,0.037628448182516976,,,,,,,
10,multiple=1,0.04138755803801324,,,,,,,
14,size=0.0,0.04177032940092953,,,,,,,
8,ectasia=1,0.05122350412434223,,,,,,,
13,distance=1.0,0.05543343144801471,,,,,,,
9,multiple=0,0.05960613441583278,,,,,,,
5,pain=0,0.07473494328648689,,,,,,,
7,ectasia=0,0.0785719663553338,,,,,,,
0,age,0.4911747315200018,5.254966344352437,-0.052683842875613424,0.040939726097759054,0.09724759857974916,0.08638314858976916,0.07013040673422555,0.046683780409803144
