iter	Logloss
0	0.6870055507
1	0.6806222573
2	0.6733616083
3	0.6660479861
4	0.6584333799
5	0.6512901513
6	0.6443930019
7	0.6374407985
8	0.6323523481
9	0.6261789803
10	0.6227004506
11	0.6163314485
12	0.6110363132
13	0.6049627103
14	0.5995894948
15	0.5946210059
16	0.5868358796
17	0.5825939668
18	0.5766403679
19	0.5719105207
20	0.5678234916
21	0.5621205433
22	0.5579109466
23	0.5531649993
24	0.5478415773
25	0.5442718825
26	0.5417314862
27	0.5382908486
28	0.5334303405
29	0.5311620436
30	0.5271099622
31	0.5243917296
32	0.5201205138
33	0.5166588551
34	0.5134449913
35	0.5093573777
36	0.5063047191
37	0.5032299965
38	0.5001986349
39	0.4966465474
40	0.4944247811
41	0.4905308142
42	0.4880365555
43	0.4844013832
44	0.4816098243
45	0.4799423224
46	0.4768372095
47	0.4747510172
48	0.4716514407
49	0.4682756483
50	0.465319666
51	0.4625745797
52	0.4607691328
53	0.4587911789
54	0.4559870287
55	0.4524955787
56	0.4505756791
57	0.4488027936
58	0.4461351376
59	0.4444120467
60	0.4425622449
61	0.4406659906
62	0.4391954235
63	0.4368595689
64	0.4344566642
65	0.4329508531
66	0.4305943558
67	0.429059965
68	0.4275645382
69	0.4251340341
70	0.4226516614
71	0.4213843936
72	0.4192708552
73	0.417837413
74	0.416937878
75	0.4153981599
76	0.4133346063
77	0.4110162286
78	0.4096418925
79	0.4074697912
80	0.4058385763
81	0.4045931705
82	0.4035050122
83	0.4021938121
84	0.4006508849
85	0.399671461
86	0.3983938018
87	0.3970786726
88	0.3954061565
89	0.3938579883
90	0.3922445957
91	0.3909810872
92	0.3895148674
93	0.3877316814
94	0.386320905
95	0.3853803868
96	0.3838169095
97	0.3819905584
98	0.3802972088
99	0.3787586881
100	0.3778413217
101	0.3767919362
102	0.3753476936
103	0.3744641998
104	0.3730463812
105	0.3713719643
106	0.3703348617
107	0.3691226695
108	0.3678716761
109	0.367261773
110	0.366312824
111	0.3653367059
112	0.3637156019
113	0.3630803347
114	0.3615334974
115	0.3607874602
116	0.3601886404
117	0.3586633929
118	0.3573274756
119	0.3562328486
120	0.3555611369
121	0.3533041245
122	0.3522952384
123	0.3510121404
124	0.3501106997
125	0.34936014
126	0.3482779287
127	0.3471804809
128	0.3465088434
129	0.345580861
130	0.3447313431
131	0.3429059722
132	0.341802465
133	0.3409970196
134	0.3395618256
135	0.3380517352
136	0.3372008711
137	0.336022927
138	0.3344197739
139	0.3334197107
140	0.3323364018
141	0.3312493912
142	0.3306120236
143	0.3297200313
144	0.3288523806
145	0.3278424059
146	0.3271809541
147	0.3259690668
148	0.3250491396
149	0.323956215
150	0.3230951775
151	0.3221111172
152	0.3206116002
153	0.3198930714
154	0.3192227841
155	0.3179241782
156	0.3170191282
157	0.3160124946
158	0.3148323751
159	0.313687749
160	0.3125555264
161	0.3114877813
162	0.3101230737
163	0.3095803156
164	0.3086233626
165	0.3078585376
166	0.3069623321
167	0.3066659655
168	0.3056052008
169	0.3050233222
170	0.3041855966
171	0.3036494888
172	0.3027177399
173	0.302216625
174	0.3014824656
175	0.3009346139
176	0.2997666053
177	0.2990000118
178	0.2982157201
179	0.2973922988
180	0.2967152282
181	0.2959833151
182	0.2953396573
183	0.2945732816
184	0.2936223683
185	0.2928975982
186	0.2920383251
187	0.2915607091
188	0.2906363021
189	0.2903193969
190	0.2892278091
191	0.2886090639
192	0.2882495339
193	0.287776334
194	0.287409403
195	0.2859414264
196	0.2851043685
197	0.2844310957
198	0.283793993
199	0.2830993018
200	0.2823359269
201	0.2813732959
202	0.2805671546
203	0.2801123852
204	0.2793779833
205	0.2786455577
206	0.2780983289
207	0.2776155686
208	0.2767505809
209	0.2759796246
210	0.2752947076
211	0.274760375
212	0.2740504817
213	0.2736129694
214	0.2732767265
215	0.2725832434
216	0.272103239
217	0.2712002252
218	0.2705430292
219	0.2698753813
220	0.2693126824
221	0.268930354
222	0.2687933775
223	0.2680450605
224	0.26702273
225	0.2665162294
226	0.2662266695
227	0.2659041672
228	0.2655498618
229	0.2653161758
230	0.2651223338
231	0.2641249665
232	0.2638235427
233	0.2632629291
234	0.2627984562
235	0.2622449392
236	0.2619190228
237	0.2609913135
238	0.2603101793
239	0.2596607062
240	0.2591751523
241	0.258607696
242	0.2579121721
243	0.2574854947
244	0.2569243719
245	0.2563304986
246	0.2555868252
247	0.2553586369
248	0.2549652496
249	0.2543199236
250	0.254044127
251	0.2529727359
252	0.2523022891
253	0.251408305
254	0.2510572614
255	0.250731372
256	0.2500974158
257	0.2498254621
258	0.2495334706
259	0.2487349729
260	0.2479124688
261	0.2471598523
262	0.2463541236
263	0.2455989278
264	0.2454474341
265	0.2450430454
266	0.2443624623
267	0.2437929776
268	0.2429444528
269	0.242105414
270	0.2418578254
271	0.2413308874
272	0.2407253092
273	0.2400254671
274	0.2392654736
275	0.2387512158
276	0.238214937
277	0.2377661208
278	0.2374457399
