iter	Passed	Remaining
0	4	4654
1	8	4022
2	12	4315
3	16	4062
4	19	3878
5	22	3763
6	27	3838
7	30	3751
8	33	3674
9	38	3771
10	41	3759
11	43	3605
12	46	3549
13	49	3515
14	53	3521
15	55	3404
16	57	3296
17	60	3311
18	64	3318
19	67	3301
20	69	3217
21	72	3206
22	75	3191
23	78	3176
24	79	3083
25	80	3018
26	82	2964
27	83	2911
28	85	2861
29	87	2818
30	90	2843
31	94	2860
32	96	2815
33	97	2774
34	99	2739
35	102	2753
36	106	2775
37	110	2799
38	114	2811
39	115	2777
40	117	2743
41	118	2711
42	121	2712
43	123	2682
44	126	2692
45	128	2664
46	131	2667
47	133	2641
48	134	2615
49	137	2604
50	140	2614
51	142	2595
52	144	2586
53	146	2563
54	149	2565
55	152	2565
56	153	2546
57	155	2528
58	157	2512
59	159	2493
60	162	2505
61	165	2507
62	168	2508
63	171	2509
64	174	2509
65	176	2490
66	178	2490
67	182	2499
68	185	2500
69	188	2501
70	190	2487
71	193	2493
72	195	2481
73	196	2462
74	199	2466
75	202	2463
76	204	2449
77	205	2433
78	208	2433
79	211	2436
80	213	2422
81	215	2410
82	216	2396
83	220	2406
84	223	2402
85	226	2406
86	229	2405
87	232	2406
88	234	2398
89	237	2397
90	240	2398
91	243	2398
92	246	2399
93	247	2387
94	250	2390
95	253	2390
96	255	2382
97	258	2382
98	261	2381
99	263	2371
100	265	2360
101	268	2364
102	271	2364
103	273	2353
104	276	2356
105	278	2345
106	279	2335
107	281	2324
108	285	2330
109	286	2319
110	290	2322
111	292	2322
112	294	2310
113	296	2301
114	299	2308
115	302	2307
116	305	2306
117	308	2307
118	311	2307
119	313	2298
120	315	2289
121	316	2281
122	318	2272
123	319	2258
124	321	2248
125	324	2250
126	327	2249
127	328	2235
128	329	2227
129	331	2220
130	335	2222
131	336	2211
132	339	2215
133	342	2213
134	344	2205
135	346	2199
136	348	2193
137	350	2187
138	353	2190
139	355	2185
140	357	2179
141	361	2185
142	364	2182
143	366	2181
144	369	2181
145	372	2181
146	374	2174
147	376	2168
148	379	2168
149	382	2168
150	384	2161
151	386	2154
152	389	2156
153	391	2148
154	394	2152
155	397	2148
156	399	2144
157	402	2142
158	403	2136
159	405	2129
160	407	2121
161	408	2115
162	411	2112
163	414	2110
164	416	2105
165	417	2099
166	419	2093
167	420	2083
168	422	2076
169	424	2070
170	427	2073
171	430	2073
172	433	2073
173	436	2073
174	439	2073
175	441	2068
176	444	2067
177	448	2070
178	450	2065
179	452	2059
180	455	2059
181	457	2056
182	460	2055
183	466	2070
184	469	2069
185	471	2063
186	475	2065
187	477	2063
188	479	2059
189	481	2051
190	484	2051
191	487	2051
192	489	2046
193	495	2058
194	499	2060
195	501	2058
196	505	2058
197	506	2050
198	508	2047
199	511	2045
200	514	2045
201	517	2043
202	520	2044
203	523	2041
204	525	2039
205	527	2033
206	529	2027
207	532	2028
208	535	2027
209	538	2026
210	540	2022
211	544	2024
212	546	2018
213	547	2010
214	550	2009
215	553	2008
216	556	2009
217	560	2008
218	563	2008
219	565	2006
220	567	2001
221	570	2000
222	573	1997
223	575	1993
224	577	1989
225	580	1988
226	583	1986
227	584	1978
228	587	1977
229	589	1974
230	593	1974
231	596	1973
232	599	1972
233	601	1970
234	605	1970
235	610	1977
236	613	1976
237	615	1970
238	618	1969
239	619	1962
240	621	1958
241	623	1953
242	626	1951
243	628	1946
244	629	1941
245	631	1936
246	632	1928
247	636	1928
248	637	1921
249	640	1922
250	642	1918
251	645	1916
252	648	1915
253	650	1910
254	652	1907
255	655	1904
256	657	1899
257	659	1895
258	660	1890
259	664	1890
260	665	1885
261	669	1884
262	671	1880
263	672	1875
264	674	1871
265	676	1866
266	680	1867
267	681	1862
268	684	1859
269	686	1857
270	689	1854
271	694	1858
272	697	1856
273	700	1855
274	701	1848
275	703	1845
276	706	1845
277	709	1843
278	711	1839
279	714	1838
280	716	1833
281	719	1832
282	721	1827
283	723	1823
284	726	1822
285	729	1820
286	731	1816
287	733	1812
288	736	1811
289	737	1806
290	741	1805
291	743	1801
292	744	1797
293	747	1796
294	748	1789
295	751	1788
296	754	1786
297	756	1781
298	759	1781
299	763	1781
300	765	1777
301	770	1780
302	772	1776
303	773	1771
304	775	1767
305	777	1763
306	780	1762
307	784	1761
308	787	1761
309	790	1760
310	792	1756
311	794	1752
312	796	1748
313	800	1749
314	802	1746
315	804	1742
316	808	1741
317	811	1739
318	813	1735
319	815	1732
320	817	1728
321	819	1726
322	822	1724
323	824	1720
324	827	1718
325	830	1716
326	832	1714
327	834	1710
328	837	1708
329	839	1704
330	842	1702
331	845	1701
332	847	1696
333	849	1693
334	852	1691
335	855	1690
336	857	1686
337	860	1684
338	861	1680
339	865	1680
340	868	1678
341	870	1674
342	873	1673
343	876	1671
344	878	1667
345	880	1664
346	882	1659
347	884	1657
348	887	1654
349	890	1653
350	892	1649
351	893	1645
352	897	1644
353	899	1640
354	900	1636
355	902	1632
356	903	1627
357	905	1623
358	906	1619
359	909	1617
360	911	1613
361	914	1611
362	916	1607
363	917	1603
364	921	1602
365	924	1600
366	927	1599
367	930	1597
368	933	1595
369	934	1591
370	936	1587
371	938	1585
372	941	1583
373	945	1581
374	946	1577
375	949	1576
376	952	1574
377	954	1570
378	955	1566
379	957	1562
380	959	1558
381	962	1556
382	964	1553
383	967	1551
384	968	1547
385	971	1545
386	973	1541
387	976	1539
388	977	1535
389	979	1532
390	983	1531
391	985	1529
392	987	1525
393	990	1523
394	992	1519
395	993	1515
396	998	1516
397	1001	1514
398	1003	1511
399	1006	1509
400	1009	1507
401	1011	1504
402	1014	1502
403	1015	1498
404	1017	1494
405	1019	1491
406	1020	1487
407	1024	1485
408	1026	1483
409	1029	1481
410	1031	1478
411	1034	1476
412	1036	1473
413	1039	1471
414	1042	1469
415	1045	1467
416	1048	1466
417	1051	1464
418	1054	1461
419	1057	1460
420	1059	1456
421	1062	1455
422	1065	1453
423	1068	1451
424	1071	1449
425	1074	1447
426	1077	1445
427	1079	1443
428	1081	1439
429	1084	1437
430	1087	1436
431	1089	1432
432	1092	1431
433	1095	1428
434	1098	1426
435	1101	1425
436	1102	1420
437	1104	1417
438	1106	1414
439	1110	1412
440	1111	1409
441	1113	1405
442	1115	1402
443	1118	1400
444	1119	1396
445	1122	1394
446	1124	1391
447	1126	1387
448	1129	1385
449	1130	1382
450	1132	1378
451	1134	1374
452	1135	1371
453	1138	1369
454	1140	1365
455	1142	1362
456	1144	1359
457	1145	1355
458	1147	1352
459	1151	1351
460	1153	1348
461	1156	1346
462	1158	1343
463	1161	1342
464	1164	1340
465	1167	1338
466	1169	1334
467	1171	1331
468	1172	1328
469	1175	1325
470	1176	1321
471	1178	1318
472	1180	1314
473	1181	1311
474	1185	1310
475	1189	1308
476	1191	1306
477	1193	1303
478	1196	1301
479	1199	1299
480	1202	1297
481	1205	1295
482	1207	1292
483	1210	1290
484	1211	1286
485	1214	1284
486	1216	1281
487	1219	1279
488	1222	1277
489	1225	1275
490	1228	1273
491	1229	1269
492	1231	1266
493	1234	1264
494	1235	1260
495	1238	1258
496	1241	1256
497	1245	1255
498	1247	1252
499	1249	1249
500	1250	1245
501	1253	1243
502	1256	1241
503	1260	1240
504	1262	1237
505	1265	1235
506	1267	1232
507	1269	1229
508	1272	1227
509	1275	1225
510	1278	1223
511	1280	1220
512	1283	1217
513	1285	1215
514	1287	1212
515	1290	1210
516	1292	1207
517	1294	1204
518	1295	1200
519	1297	1197
520	1300	1195
521	1302	1192
522	1305	1190
523	1307	1187
524	1308	1184
525	1312	1182
526	1315	1180
527	1316	1177
528	1320	1175
529	1322	1172
530	1324	1169
531	1327	1167
532	1330	1165
533	1332	1162
534	1334	1159
535	1337	1158
536	1340	1155
537	1343	1153
538	1345	1150
539	1348	1148
540	1351	1146
541	1353	1143
542	1356	1141
543	1357	1138
544	1359	1134
545	1361	1131
546	1362	1128
547	1364	1125
548	1368	1123
549	1369	1120
550	1371	1117
551	1374	1115
552	1376	1112
553	1378	1109
554	1379	1106
555	1382	1104
556	1385	1102
557	1388	1099
558	1391	1097
559	1393	1094
560	1394	1091
561	1396	1088
562	1399	1086
563	1400	1082
564	1404	1081
565	1407	1078
566	1410	1076
