序号,编号,轮次,场次,处罚时间,year,赛事,年龄,球队,受罚,受罚者,行为,分类,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,对象,运动员,官员,裁判员,影响,不良,严重,恶劣,十分恶劣,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
1,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,泉州青工队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
2,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,泉州青工队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,6月,500,17 56,10,
3,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,泉州青工队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
4,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,泉州青工队,官员,官员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
5,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,12月,500,17 56,10,
6,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
7,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
8,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,6月,500,17 56,10,
9,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,运动员,运动员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,18月,1000,17 56,10,
10,1,,,2019.2.28,2019,闽南杯足球冠军赛,成人,厦门联创世纪队,官员,官员,打架 辱骂,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,运动员 官员,1,1,0,未定义,0,0,0,0,3 8,24月,1000,17 56,10,
