球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
泉州青工队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,12月,500,17 56,10,
厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,18月,1000,17 56,10,
厦门联创世纪队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
泉州青工队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
厦门联创世纪队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
大连超越队,俱乐部,,欠薪,,取消注册资格,,,,特
上海申梵队,俱乐部,,欠薪,,取消注册资格,,,,特
深圳人人队,俱乐部,,欠薪,,取消注册资格,,,,特
海南博盈队,俱乐部,,欠薪,,取消注册资格,,,,特
上海绿地申花队,运动员,运动员,肘击,53 48,5,50000,17 112,6,
上海绿地申花队,运动员,运动员,手击,53 48,4,40000,17 112,6,
新疆天山雪豹U19队,运动员,运动员,脚踢,53 108,4,,112,3,
天津天海U19队,官员,裁判员,辱骂,48 54 108,6,,112,8,
重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,14,,112,5,
重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,10,,112,5,
重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,12,,112,5,
重庆斯威U19队,运动员,运动员,报复性动作蹬踹,48 53 56 108,7,,112,5,
浙江毅腾U19队,运动员,运动员,打架 情节恶劣,48 56 108,14,,112,5,
浙江毅腾U19队,运动员,运动员,打架 情节恶劣,48 56 108,12,,112,5,
重庆当代力帆队,俱乐部,运动员,打架 情节恶劣,58,通报批评,150000,17,5,
浙江毅腾队,俱乐部,运动员,打架 情节恶劣,58,通报批评,150000,17,5,
赛区,重庆赛区,,管理不力,90,通报批评,,,5,
武汉卓尔职业队,运动员,运动员,故意用球踢人,53 48,5,50000,17 112,3,
深圳市佳兆业队,运动员,运动员,故意踢蹬,53 48,5,50000,17 112,3,
赛区,四川都江堰赛区,裁判员,观众抛物,91,通报批评,50000,17,4,
南通支云队,运动员,裁判员,辱骂,54 48,6,60000,17 112,1,
中国U19国家男子足球队,运动员,,违规违纪,,缩减处罚期限5月,,,,特
上海上汽同济大学足球队,官员,比赛官员,辱骂,54 48 108,6,12000,17 112,17,
青岛中青英联队,运动员,裁判员,威胁,54 70 48 108,6,,,,
青岛中青英联队,运动员,比赛官员,指责 辱骂,54 70 48 108,7,,112,19,
