序号,处罚时间,赛事,球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
1,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
2,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
3,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
4,2019.2.28,闽南杯足球冠军赛,泉州青工队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
5,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,12月,500,17 56,10,
6,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
7,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
8,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
9,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,18月,1000,17 56,10,
10,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
11,2019.2.28,闽南杯足球冠军赛,泉州青工队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
12,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
13,2019.2.28,,大连超越队,俱乐部,,欠薪,,取消注册资格,,,,特
14,2019.2.28,,上海申梵队,俱乐部,,欠薪,,取消注册资格,,,,特
15,2019.2.28,,深圳人人队,俱乐部,,欠薪,,取消注册资格,,,,特
16,2019.2.28,,海南博盈队,俱乐部,,欠薪,,取消注册资格,,,,特
17,2019.3.7,中超联赛,上海绿地申花队,运动员,运动员,肘击,53 48,5,50000,17 112,6,
18,2019.3.7,中超联赛,上海绿地申花队,运动员,运动员,手击,53 48,4,40000,17 112,6,
19,2019.3.7,全国青少年足球超级联赛U19A组,新疆天山雪豹U19队,运动员,运动员,脚踢,53 108,4,,112,3,
