id,date,link,title,page,file,ocr,ocr_2,pdf,pdf_2,type
0,2020/6/6,/cftz/20200606/28670.html,关于对中国U19国家男子足球队球员陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各会员协会、各足球俱乐部：</strong></p>
<p>
	　　中国U19国家男子足球队于2020年5月17日至6月6日期间在上海东方绿舟体育训练基地进行集训。2020年5月30日晚，在队伍例行查房后，陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海等六名队员严重违反国家队疫情防控规定私自外出，在队伍内部造成了不良影响。</p>
<p>
	　　为进一步加强队伍管理，严肃队规队纪，依据《中国足球协会纪律准则》第八十条及《各级国家足球队运动员管理规定实施细则》相关规定，作出以下处罚：</p>
<p>
	　　一、取消陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海等六人征调进入中国各级国家男子足球队的资格；</p>
<p>
	　　二、禁止陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海等六人参加中国足球协会举办的比赛六个月 (2020年6月1日起至 2020年11月30日止)。</p>
<p>
	　　三、责成相关俱乐部对违纪球员进行批评教育并做出进一步处罚。</p>
<p>
	　　中国足协责成U19男足国家队就落实疫情防控工作不严的情况做出深刻检查，并吸取教训，防止此类情况再次发生。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　遵守规定是国家队运动员的基本职业要求，国家队运动员应当时刻注意自身言行，维护和提高国家队团队意识，树立良好公众形象。中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，望各参与方能够共同维护来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2020年6月6日</p>
<p class=""news_author"">(编辑：张素琦)</p>
</div>]",,,,,,txt
1,2019/11/5,/cftz/20191105/28428.html,关于对广州富力足球俱乐部队官员斯托伊科维奇违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月26日，2019中国足球协会超级联赛场序第27轮场序210场，河北华夏幸福足球俱乐部队与广州富力足球俱乐部队的比赛在河北省廊坊体育场举行。</p>
<p>
	　　根据比赛监督报告、当事人情况说明及音视频材料等，在赛后新闻发布会上，广州富力足球俱乐部队官员斯托伊科维奇发表不负责任言论，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第八十二条之规定，作出如下处罚：</p>
<p>
	　　一、禁止广州富力足球俱乐部队官员斯托伊科维奇进入体育场3场；</p>
<p>
	　　二、罚款人民币3万元。</p>
<p>
	　　上述处罚应按照《中国足球协会纪律准则》第十七条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年11月5日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
2,2019/11/5,/cftz/20191105/28427.html,关于对天津泰达足球俱乐部U19队球员赵研博违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月25日，2019中国足球协会杯男子U19组第二阶段比赛场序18场，北京中赫国安足球俱乐部U19队与天津泰达足球俱乐部U19队的比赛在昆明市海埂训练基地10号体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告及视频等，当比赛进行到第80分钟时，天津泰达足球俱乐部U19队13号球员赵研博故意踩踏对方球员，并用头撞击对方球员面部，被裁判员出示红牌罚令出场，造成严重社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十三条、第四十八条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　对天津泰达足球俱乐部U19队13号球员赵研博予以停赛10场。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年11月5日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
3,2019/10/24,/cftz/20191024/28426.html,关于对淄博蹴鞠足球俱乐部队球员张丰羽违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月12日，2019中国足球协会乙级联赛排位赛第2轮场序13场，淄博蹴鞠足球俱乐部队与四川优必选足球俱乐部队的比赛在山东省淄博市体育中心体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告、当事人情况说明及视频等，当比赛进行到79分钟时，淄博蹴鞠足球俱乐部队19号球员张丰羽推击对方球员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十三条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　一、对淄博蹴鞠足球俱乐部队19号球员张丰羽予以停赛3场；</p>
<p>
	　　二、罚款人民币0.6万元。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第十七条及第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
4,2019/10/24,/cftz/20191024/28425.html,关于对四川优必选足球俱乐部队球员耿晓顺违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月12日，2019中国足球协会乙级联赛排位赛第2轮场序13场，淄博蹴鞠足球俱乐部队与四川优必选足球俱乐部队的比赛在山东省淄博市体育中心体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告、当事人情况说明及视频等，当比赛进行到79分钟时，四川优必选足球俱乐部队2号球员耿晓顺推击对方球员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十三条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　一、对四川优必选足球俱乐部队2号球员耿晓顺予以停赛3场；</p>
<p>
	　　二、罚款人民币0.6万元。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第十七条及第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
5,2019/10/24,/cftz/20191024/28424.html,关于对成都兴城足球俱乐部队球员胡明天违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月13日，2019中国足球协会乙级联赛决赛阶段第1轮场序3场，成都兴城足球俱乐部队与沈阳城市足球俱乐部队的比赛在成都市龙泉阳光体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告、当事人情况说明及视频等，当比赛进行到79分钟时，成都兴城足球俱乐部队11号球员胡明天在争抢球倒地后用脚踢对方球员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十三条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　一、对成都兴城足球俱乐部队11号球员胡明天予以停赛3场；</p>
<p>
	　　二、罚款人民币0.6万元。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第十七条及第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
6,2019/10/24,/cftz/20191024/28423.html,关于对大连千兆足球俱乐部队球员董志远违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月11日，2019中国足球协会乙级联赛排位赛第2轮场序15场，武汉三镇足球俱乐部队与大连千兆足球俱乐部队的比赛在湖北省孝感市体育中心体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告及视频等，当比赛进行到86分钟时，大连千兆足球俱乐部队16号球员董志远对判罚不满，辱骂裁判员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十四条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　一、对大连千兆足球俱乐部队16号球员董志远予以停赛6场；</p>
<p>
	　　二、罚款人民币1.2万元。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第十七条及第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
7,2019/10/24,/cftz/20191024/28422.html,关于对大连千兆足球俱乐部队官员刘宏毅违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月5日，2019中国足球协会乙级联赛排位赛第1轮场序3场，大连千兆足球俱乐部队与武汉三镇足球俱乐部队的比赛在大连市金州体育场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告及当事人情况说明等，当比赛进行到82分钟时，大连千兆足球俱乐部队官员刘宏毅对判罚不满，辱骂裁判员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第四十八条、第五十四条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　一、禁止大连千兆足球俱乐部队官员刘宏毅进入替补席7场；</p>
<p>
	　　二、罚款人民币1.4万元。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第十七条及第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
8,2019/10/24,/cftz/20191024/28421.html,关于对河北精英女子足球队官员侯智敏违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月6日，2019中国足球协会女子足球甲级联赛第15轮场序71场，河北精英女子足球队与东华齐荟女子足球队的比赛在河北省唐山市南湖城市足球广场举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告、当事方情况说明及视频等，当比赛进行到84分钟时，河北精英女子足球队官员侯智敏对判罚不满，辱骂裁判员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第四十八条、第五十四条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　禁止河北精英女子足球队官员侯智敏进入替补席7场。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
9,2019/10/24,/cftz/20191024/28420.html,关于对上海申鑫足球俱乐部U19队球员苗祥涛违规违纪的处罚决定,"[<div class=""news_right_list"">
<p>
<strong>各赛区委员会、各足球俱乐部：</strong></p>
<p>
	　　2019年10月7日，2019全国青少年足球超级联赛(U-19 A组)第23轮场序205场，河北华夏幸福足球俱乐部U19队与上海申鑫足球俱乐部U19队的比赛在河北省固安县牛驼训练基地举行。</p>
<p>
	　　根据比赛监督报告、裁判员报告及视频等，当比赛进行到40分钟时，上海申鑫足球俱乐部U19队31号球员苗祥涛对判罚不满，辱骂裁判员，被裁判员出示红牌罚令出场，造成不良社会影响。</p>
<p>
	　　依据《中国足球协会纪律准则》第五十四条及第一百零八条之规定，在自然停赛基础上追加如下处罚：</p>
<p>
	　　对上海申鑫足球俱乐部U19队31号球员苗祥涛予以停赛6场。</p>
<p>
	　　上述处罚应按照《中国足球协会关于违规违纪的停赛执行细则》、《中国足球协会纪律准则》第一百一十二条的规定执行。</p>
<p>
	　　本处罚决定自公布之日起生效。</p>
<p>
	　　中国足球协会将依照《中国足球协会纪律准则》的规定，坚决严肃处理各类违规违纪行为，净化赛场风气。望各俱乐部、官员、球员等能够共同维护比赛秩序和来之不易的足球发展环境。</p>
<p style=""text-align: right;"">
	　　中国足球协会纪律委员会</p>
<p style=""text-align: right;"">
	　　主任：王小平</p>
<p style=""text-align: right;"">
	　　2019年10月24日</p>
<p class=""news_author"">(编辑：李鑫)</p>
</div>]",,,,,,txt
