id,date,link,title
0,2020-6-6,/cftz/20200606/28670.html,关于对中国U19国家男子足球队球员陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海违规违纪的处罚决定
1,2019-11-5,/cftz/20191105/28428.html,关于对广州富力足球俱乐部队官员斯托伊科维奇违规违纪的处罚决定
2,2019-11-5,/cftz/20191105/28427.html,关于对天津泰达足球俱乐部U19队球员赵研博违规违纪的处罚决定
3,2019-10-24,/cftz/20191024/28426.html,关于对淄博蹴鞠足球俱乐部队球员张丰羽违规违纪的处罚决定
4,2019-10-24,/cftz/20191024/28425.html,关于对四川优必选足球俱乐部队球员耿晓顺违规违纪的处罚决定
5,2019-10-24,/cftz/20191024/28424.html,关于对成都兴城足球俱乐部队球员胡明天违规违纪的处罚决定
6,2019-10-24,/cftz/20191024/28423.html,关于对大连千兆足球俱乐部队球员董志远违规违纪的处罚决定
7,2019-10-24,/cftz/20191024/28422.html,关于对大连千兆足球俱乐部队官员刘宏毅违规违纪的处罚决定
8,2019-10-24,/cftz/20191024/28421.html,关于对河北精英女子足球队官员侯智敏违规违纪的处罚决定
9,2019-10-24,/cftz/20191024/28420.html,关于对上海申鑫足球俱乐部U19队球员苗祥涛违规违纪的处罚决定
10,2019-9-27,/cftz/20190927/28166.html,中国足协关于天津天海俱乐部球员张鹭的处罚决定
11,2019-9-21,/cftz/20190921/28083.html,中国足协关于天津天海俱乐部球员张鹭涉嫌违法行为的处罚决定
12,2019-9-20,/cftz/20190920/28080.html,关于对保定英利易通足球俱乐部未执行中国足协仲裁调解书的处罚决定
13,2019-9-20,/cftz/20190920/28079.html,关于对大连一方足球俱乐部队球员李建滨违规违纪的处罚决定
14,2019-9-20,/cftz/20190920/28078.html,关于对内蒙古中优足球俱乐部呼和浩特队违规违纪的处罚决定
15,2019-9-20,/cftz/20190920/28077.html,关于对内蒙古中优足球俱乐部呼和浩特队球员于帅、李健违规违纪的处罚决定
16,2019-9-20,/cftz/20190920/28076.html,关于对中国U-22国家男子足球队运动员郭田雨违规违纪的处罚决定
17,2019-9-11,/cftz/20190911/28004.html,关于对上海申鑫足球俱乐部队球员李万杰、李伟杰违规违纪的处罚决定
18,2019-9-3,/cftz/20190903/27978.html,关于对浙江绿城足球俱乐部队球员程进违规违纪的处罚决定
19,2019-9-3,/cftz/20190903/27977.html,关于对广州富力足球俱乐部队球员托西奇违规违纪的处罚决定
20,2019-8-9,/cftz/20190809/27871.html,关于对贵州恒丰足球俱乐部队官员谭雨涛违规违纪的处罚决定
21,2019-8-9,/cftz/20190809/27870.html,关于对武汉卓尔职业足球俱乐部队及其官员李铁违规违纪的处罚决定
22,2019-7-31,/cftz/20190731/27813.html,关于对河南建业足球俱乐部U19队球员刘家辉违规违纪的处罚决定
23,2019-7-31,/cftz/20190731/27812.html,关于对辽宁足球俱乐部沈阳宏运队球员李成林违规违纪的处罚决定
24,2019-7-23,/cftz/20190723/27720.html,关于对江苏苏宁足球俱乐部苏宁易购队球员帕莱塔违规违纪的处罚决定
25,2019-7-19,/cftz/20190719/27698.html,关于对内蒙古中优足球俱乐部U19队球员贾晨浩违规违纪的处罚决定
26,2019-7-19,/cftz/20190719/27697.html,关于对延边足协U19队球员梁兵违规违纪的处罚决定
27,2019-7-19,/cftz/20190719/27696.html,关于对江苏苏宁足球俱乐部苏宁易购队球员谢鹏飞违规违纪的处罚决定
28,2019-7-19,/cftz/20190719/27695.html,关于对江苏苏宁足球俱乐部苏宁易购队球员叶重秋违规违纪的处罚决定
29,2019-7-17,/cftz/20190717/27688.html,中国足协关于对成都胜利十一人足球俱乐部及廖勇等5人违规违纪的处罚决定
30,2019-7-12,/cftz/20190712/27666.html,关于将西安市鄠邑区足球协会对张宏伟违规违纪的处罚决定在全国执行的通知
31,2019-7-12,/cftz/20190712/27665.html,关于将西安市足球协会对郭弈辉违规违纪处罚决定在全国执行的通知
32,2019-7-12,/cftz/20190712/27664.html,关于对南通支云足球俱乐部队及其官员李毅违规违纪的处罚决定
33,2019-7-12,/cftz/20190712/27662.html,关于对中甲联赛黑龙江赛区（黑龙江FC主场）违规违纪的处罚决定
34,2019-7-12,/cftz/20190712/27667.html,关于对深圳足球俱乐部U19队球员李威违规违纪的处罚决定
35,2019-7-4,/cftz/20190704/27543.html,关于对中超联赛武汉赛区（武汉卓尔主场）违规违纪的处罚决定
36,2019-7-4,/cftz/20190704/27542.html,关于对山东鲁能泰山足球俱乐部队球员费莱尼违规违纪的处罚决定
37,2019-6-20,/cftz/20190620/27427.html,关于对中甲联赛贵州赛区（贵州恒丰足球俱乐部主场）违规违纪的处罚决定
38,2019-6-20,/cftz/20190620/27426.html,关于对广东梅州客家足球俱乐部队球员霍亮违规违纪的处罚决定
39,2019-6-20,/cftz/20190620/27425.html,关于对北京北体大足球俱乐部U14队官员武闻广违规违纪的处罚决定
40,2019-6-11,/cftz/20190611/27361.html,关于对北京北体大足球俱乐部及其U17队违规违纪的处罚决定
41,2019-6-11,/cftz/20190611/27360.html,关于对青岛中能足球俱乐部及其U17队违规违纪的处罚决定
42,2019-6-11,/cftz/20190611/27359.html,关于对青岛中能足球俱乐部U17队球员胡俊超、元祯浜、韩金志、崔子骏、王浩违规违纪的处罚决定
43,2019-6-11,/cftz/20190611/27358.html,关于对北京北体大足球俱乐部U17队球员李俊驹、马万、孙航、陈凡、范学梁、陈禹全违规违纪的处罚决定
44,2019-6-11,/cftz/20190611/27357.html,关于对天津天海足球俱乐部U19队官员田野违规违纪的处罚决定
45,2019-6-11,/cftz/20190611/27356.html,关于对山东鲁能泰山足球俱乐部队球员李海龙违规违纪的处罚决定
46,2019-5-29,/cftz/20190529/27246.html,关于对长春亚泰足球俱乐部队官员杨敬东、陈金刚违规违纪的处罚决定
47,2019-5-29,/cftz/20190529/27245.html,关于对四川隆发足球俱乐部队官员彭晓方违规违纪的处罚决定
48,2019-5-29,/cftz/20190529/27244.html,关于对南通支云足球俱乐部队官员亚瑟违规违纪的处罚决定
49,2019-5-24,/cftz/20190524/27215.html,关于对成都棠湖外国语学校U19队官员朱峰鹏违规违纪的处罚决定
50,2019-5-7,/cftz/20190507/26978.html,关于对北京北体大足球俱乐部队球员聂涛违规违纪的处罚决定
51,2019-5-7,/cftz/20190507/26977.html,关于对河北华夏幸福足球俱乐部队球员耿晓峰违规违纪的处罚决定
52,2019-5-2,/cftz/20190502/26894.html,关于对新疆天山雪豹足球俱乐部预备队官员马克违规违纪的处罚决定
53,2019-5-2,/cftz/20190502/26893.html,关于对上海申鑫足球俱乐部队官员朱炯违规违纪的处罚决定
54,2019-4-26,/cftz/20190426/26882.html,关于对广东华南虎足球俱乐部梅县铁汉生态队球员余文鹤违规违纪的处罚决定
55,2019-4-26,/cftz/20190426/26881.html,关于对广东华南虎足球俱乐部梅县铁汉生态队、长春亚泰足球俱乐部队违规违纪的处罚决定
56,2019-4-26,/cftz/20190426/26880.html,关于对长春亚泰足球俱乐部队球员周大地违规违纪的处罚决定
57,2019-4-19,/cftz/20190419/26838.html,关于对大连一方足球俱乐部队球员李帅违规违纪的处罚决定
58,2019-4-19,/cftz/20190419/26837.html,关于对内蒙古中优足球俱乐部呼和浩特足球队球员徐擎违规违纪的处罚决定
59,2019-4-19,/cftz/20190419/26836.html,关于对青岛中青英联足球俱乐部队球员徐海亮、陈晓东违规违纪的处罚决定
60,2019-4-19,/cftz/20190419/26835.html,关于对室内五人制甲级联赛上海上汽同济大学队官员马红兵违规违纪的处罚决定
61,2019-4-11,/cftz/20190411/26753.html,关于对上海绿地申花俱乐部运动员周俊辰缩减处罚期限的决定
62,2019-4-3,/cftz/20190403/26679.html,关于对南通支云足球俱乐部队球员南云齐违规违纪的处罚决定
63,2019-4-3,/cftz/20190403/26678.html,关于对中甲联赛四川都江堰赛区违规违纪的处罚决定
64,2019-4-3,/cftz/20190403/26676.html,关于对深圳市足球俱乐部佳兆业队球员葛振违规违纪的处罚决定
65,2019-4-3,/cftz/20190403/26674.html,关于对武汉卓尔职业足球俱乐部队球员拉斐尔•席尔瓦违规违纪的处罚决定
66,2019-4-3,/cftz/20190403/26673.html,关于对青超联赛U19（B组）重庆赛区违规违纪的处罚决定
67,2019-4-3,/cftz/20190403/26672.html,关于对重庆当代力帆足球俱乐部、浙江毅腾足球俱乐部违规违纪的处罚决定
68,2019-4-3,/cftz/20190403/26671.html,关于对浙江毅腾U19队球员阿力马斯、艾则麦提江违规违纪的处罚决定
69,2019-4-3,/cftz/20190403/26670.html,关于对重庆斯威U19队球员满源、马德福、肖鑫鑫、李博文违规违纪的处罚决定
70,2019-4-3,/cftz/20190403/26669.html,关于对天津天海U19队官员田野违规违纪的处罚决定
71,2019-3-25,/cftz/20190325/26587.html,关于对青岛中能足球俱乐部未执行国际足联裁决的处罚决定
72,2019-3-7,/cftz/20190307/26449.html,关于对新疆天山雪豹U19队球员阿克卓力•何孜尔汗违规违纪的处罚决定
73,2019-3-7,/cftz/20190307/26448.html,关于对上海绿地申花足球俱乐部队球员柏佳骏、孙世林违规违纪的处罚决定
74,2019-2-28,/cftz/20190228/26417.html,关于取消大连超越、上海申梵、深圳人人、海南博盈足球俱乐部注册资格的处罚决定
75,2019-2-28,/cftz/20190228/26415.html,关于将《闽足纪字〔2019〕001号处罚决定》在全国执行的通知
76,2018-11-15,/cftz/20181115/25622.html,关于对河南建业足球俱乐部队球员顾操违规违纪的处罚决定
77,2018-11-9,/cftz/20181109/25569.html,关于对长春农商银行女子足球队官员李伟奇违规违纪的处罚决定
78,2018-11-9,/cftz/20181109/25568.html,关于对内蒙古满洲里边城雪狼足球俱乐部队球员谢飞违规违纪的处罚决定
79,2018-10-31,/cftz/20181031/25512.html,关于对山东鲁能泰山足球俱乐部队球员塔尔德利违规违纪的处罚决定
80,2018-10-31,/cftz/20181031/25511.html,关于对上海上港集团足球俱乐部队违规违纪的处罚决定
81,2018-10-31,/cftz/20181031/25510.html,关于对四川都江堰赛区违规违纪的处罚决定
82,2018-10-27,/cftz/20181027/25493.html,关于沈阳城市足球俱乐部队球员李志斌违规违纪的处罚决定
83,2018-10-27,/cftz/20181027/25492.html,关于沈阳城市足球俱乐部队俱乐部官员徐冀宁违规违纪的处罚决定
84,2018-10-27,/cftz/20181027/25491.html,关于对宁夏吴忠赛区违规违纪的处罚决定
85,2018-10-27,/cftz/20181027/25490.html,关于长春大众卓越女子U14足球队官员王维鹤违规违纪的处罚决定
86,2018-10-27,/cftz/20181027/25489.html,关于对恒大足球学校U19B队球员马升违规违纪的处罚决定
87,2018-10-27,/cftz/20181027/25488.html,关于对武汉卓尔职业足球俱乐部U19队球员丁荆龙违规违纪的处罚决定
88,2018-10-27,/cftz/20181027/25487.html,关于对浙江绿城足球俱乐部U19队球员邵仁哲违规违纪的处罚决定
89,2018-10-27,/cftz/20181027/25486.html,关于对延边富德足球俱乐部队违规违纪的处罚决定
90,2018-10-27,/cftz/20181027/25485.html,关于对江苏苏宁足球俱乐部苏宁易购队违规违纪的处罚决定
91,2018-10-18,/cftz/20181018/25356.html,关于对上海上港集团足球俱乐部队俱乐部官员佩雷拉违规违纪的处罚决定
92,2018-10-18,/cftz/20181018/25355.html,关于对青岛赛区（青岛中能足球俱乐部队主场）违规违纪的处罚决定
93,2018-10-3,/cftz/20181003/25097.html,关于对河北华夏幸福足球俱乐部队球员张呈栋违规违纪的处罚决定
94,2018-10-3,/cftz/20181003/25096.html,关于对天津泰达足球俱乐部队球员白岳峰违规违纪的处罚决定
