id,sn,sn_2,date,title,link
0,,,,关于对中国U19国家男子足球队球员陶强龙、刘祝润、彭号、任丽昊、韩东、何龙海违规违纪的处罚决定,http://www.thecfa.cn/cftz/20200606/28670.html
1,,,,关于对广州富力足球俱乐部队官员斯托伊科维奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191105/28428.html
2,,,,关于对天津泰达足球俱乐部U19队球员赵研博违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191105/28427.html
3,,,,关于对淄博蹴鞠足球俱乐部队球员张丰羽违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28426.html
4,,,,关于对四川优必选足球俱乐部队球员耿晓顺违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28425.html
5,,,,关于对成都兴城足球俱乐部队球员胡明天违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28424.html
6,,,,关于对大连千兆足球俱乐部队球员董志远违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28423.html
7,,,,关于对大连千兆足球俱乐部队官员刘宏毅违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28422.html
8,,,,关于对河北精英女子足球队官员侯智敏违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28421.html
9,,,,关于对上海申鑫足球俱乐部U19队球员苗祥涛违规违纪的处罚决定,http://www.thecfa.cn/cftz/20191024/28420.html
10,,,,中国足协关于天津天海俱乐部球员张鹭的处罚决定,http://www.thecfa.cn/cftz/20190927/28166.html
11,,,,中国足协关于天津天海俱乐部球员张鹭涉嫌违法行为的处罚决定,http://www.thecfa.cn/cftz/20190921/28083.html
12,,,,关于对保定英利易通足球俱乐部未执行中国足协仲裁调解书的处罚决定,http://www.thecfa.cn/cftz/20190920/28080.html
13,,,,关于对大连一方足球俱乐部队球员李建滨违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190920/28079.html
14,,,,关于对内蒙古中优足球俱乐部呼和浩特队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190920/28078.html
15,,,,关于对内蒙古中优足球俱乐部呼和浩特队球员于帅、李健违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190920/28077.html
16,,,,关于对中国U-22国家男子足球队运动员郭田雨违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190920/28076.html
17,,,,关于对上海申鑫足球俱乐部队球员李万杰、李伟杰违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190911/28004.html
18,,,,关于对浙江绿城足球俱乐部队球员程进违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190903/27978.html
19,,,,关于对广州富力足球俱乐部队球员托西奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190903/27977.html
20,,,,关于对贵州恒丰足球俱乐部队官员谭雨涛违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190809/27871.html
21,,,,关于对武汉卓尔职业足球俱乐部队及其官员李铁违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190809/27870.html
22,,,,关于对河南建业足球俱乐部U19队球员刘家辉违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190731/27813.html
23,,,,关于对辽宁足球俱乐部沈阳宏运队球员李成林违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190731/27812.html
24,,,,关于对江苏苏宁足球俱乐部苏宁易购队球员帕莱塔违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190723/27720.html
25,,,,关于对内蒙古中优足球俱乐部U19队球员贾晨浩违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190719/27698.html
26,,,,关于对延边足协U19队球员梁兵违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190719/27697.html
27,,,,关于对江苏苏宁足球俱乐部苏宁易购队球员谢鹏飞违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190719/27696.html
28,,,,关于对江苏苏宁足球俱乐部苏宁易购队球员叶重秋违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190719/27695.html
29,成足发[2019]35 号,成足发[2019]36 号,,中国足协关于对成都胜利十一人足球俱乐部及廖勇等5人违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190717/27688.html
30,,,,关于将西安市鄠邑区足球协会对张宏伟违规违纪的处罚决定在全国执行的通知,http://www.thecfa.cn/cftz/20190712/27666.html
31,,,,关于将西安市足球协会对郭弈辉违规违纪处罚决定在全国执行的通知,http://www.thecfa.cn/cftz/20190712/27665.html
32,,,,关于对南通支云足球俱乐部队及其官员李毅违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190712/27664.html
33,,,,关于对中甲联赛黑龙江赛区（黑龙江FC主场）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190712/27662.html
34,,,,关于对深圳足球俱乐部U19队球员李威违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190712/27667.html
35,,,,关于对中超联赛武汉赛区（武汉卓尔主场）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190704/27543.html
36,,,,关于对山东鲁能泰山足球俱乐部队球员费莱尼违规违纪的处罚决定,http://www.thecfa.cn/cftz/20190704/27542.html
