iter	Logloss
0	0.6853397231
1	0.6781678274
2	0.6716105413
3	0.666328727
4	0.6611723056
5	0.6556240187
6	0.6497369651
7	0.6442273121
8	0.6403877045
9	0.6363566315
10	0.6319665633
11	0.6281939498
12	0.6251398028
13	0.6218354676
14	0.618586871
15	0.6159729322
16	0.6127440681
17	0.6099837751
18	0.6081433537
19	0.606427093
20	0.6047902442
21	0.6032449202
22	0.6013345942
23	0.599893873
24	0.597668592
25	0.5964211609
26	0.5942022777
27	0.5926991428
28	0.5915244452
29	0.5902766464
30	0.5891296258
31	0.5879624578
32	0.5870989351
33	0.5856121521
34	0.584672672
35	0.5835642097
36	0.5822025435
37	0.5814504482
38	0.5806180281
39	0.5798411945
40	0.5793964738
41	0.5787428107
42	0.5781258417
43	0.5773358689
44	0.5767696059
45	0.5758749433
46	0.5752451375
47	0.5747970885
48	0.5741670407
49	0.5737643919
50	0.573111301
51	0.5727248683
52	0.5723629233
53	0.5718115354
54	0.571564207
55	0.5710955897
56	0.5707832382
57	0.5703531761
58	0.5694546116
59	0.5691078904
60	0.5688955977
61	0.5685322386
62	0.5682676738
63	0.5679694923
64	0.5675721147
65	0.5671673468
66	0.5668610464
67	0.5662747934
68	0.5659751614
69	0.5655102107
70	0.5652416344
71	0.5648550948
72	0.5646055019
73	0.5644537049
74	0.5641486072
75	0.563847347
76	0.5636185541
77	0.5633104125
78	0.5629594512
79	0.562749733
80	0.5624869928
81	0.5621579816
82	0.5618937054
83	0.5615768532
84	0.5613429584
85	0.5611901483
86	0.5610409756
87	0.5607442506
88	0.5605761744
89	0.5604030343
90	0.5600526326
91	0.5597894391
92	0.5596271098
93	0.5594335613
94	0.5592620427
95	0.5588762628
96	0.5586364201
97	0.5583529587
98	0.5581889856
99	0.558023953
100	0.5579019553
101	0.557733062
102	0.5575082954
103	0.5573072206
104	0.5571399322
105	0.557032703
106	0.5569322044
107	0.5567541656
108	0.5565575223
109	0.5564397429
110	0.5563392498
111	0.5562355066
112	0.5560274953
113	0.5557761004
114	0.5553814083
115	0.5552227088
116	0.5551114894
117	0.5548043685
118	0.5546864502
119	0.5545346602
120	0.5543389479
121	0.5541652959
122	0.5540766057
123	0.5538848922
124	0.5537287891
125	0.5535747557
126	0.5533742308
127	0.5532227047
128	0.5530937963
129	0.5529411031
130	0.5527950745
131	0.5526198197
132	0.5525340961
133	0.5523926189
134	0.5522635821
135	0.552075674
136	0.5519093169
137	0.5517385303
138	0.5516461343
139	0.551463134
140	0.5513658815
141	0.5512112577
142	0.5511474419
143	0.5510471259
144	0.5509301827
145	0.5506650623
146	0.5506006428
147	0.5503928073
148	0.5502819799
149	0.5501386298
150	0.5500315796
151	0.549859922
152	0.5497637152
153	0.5495446093
154	0.5494946839
155	0.5493981338
156	0.5492759255
157	0.5491847763
158	0.5491033373
159	0.5490169598
160	0.5489086346
161	0.5487708299
162	0.5486874969
163	0.5485382709
164	0.548330069
165	0.5482288477
166	0.5480727927
167	0.5480004375
168	0.5478624192
169	0.5477648073
170	0.5475538874
171	0.5474133097
172	0.5472816003
173	0.5472204358
174	0.5470920654
175	0.5469465227
176	0.5466612312
177	0.5465788879
178	0.5464991922
179	0.5464217746
180	0.5463376394
181	0.54609193
182	0.5458590658
183	0.545742342
184	0.5456314593
185	0.5455573711
186	0.5454670214
187	0.5453627553
188	0.5452661103
189	0.5451727052
190	0.5450775038
191	0.5449900595
192	0.5448681797
193	0.5447400708
194	0.5446694248
195	0.5446041749
