iter	Passed	Remaining
0	6	6589
1	11	5631
2	15	5262
3	21	5306
4	24	4795
5	28	4660
6	31	4490
7	38	4774
8	44	4882
9	48	4818
10	54	4870
11	58	4826
12	62	4771
13	68	4833
14	74	4924
15	81	5030
16	88	5090
17	92	5030
18	95	4946
19	101	4949
20	105	4900
21	109	4852
22	113	4810
23	119	4847
24	124	4859
25	128	4829
26	135	4886
27	139	4847
28	143	4805
29	148	4791
30	152	4769
31	157	4768
32	161	4734
33	168	4774
34	173	4784
35	177	4747
36	181	4728
37	186	4732
38	190	4699
39	193	4637
40	198	4636
41	201	4596
42	205	4570
43	209	4548
44	213	4538
45	220	4583
46	224	4561
47	229	4546
48	235	4571
49	239	4555
50	244	4541
51	249	4553
52	253	4534
53	257	4516
54	262	4505
55	268	4529
56	272	4509
57	276	4490
58	282	4509
59	286	4494
60	290	4478
61	296	4479
62	300	4469
63	304	4454
64	308	4430
65	313	4443
66	318	4429
67	322	4413
68	325	4398
69	331	4408
70	337	4415
71	340	4390
72	347	4406
73	349	4379
74	352	4350
75	356	4334
76	360	4327
77	366	4333
78	370	4318
79	374	4302
80	379	4300
81	382	4285
82	386	4272
83	390	4257
84	395	4260
85	399	4246
86	403	4231
87	406	4217
88	412	4217
89	415	4196
90	419	4185
91	423	4175
92	427	4172
93	431	4162
94	435	4151
95	439	4141
96	445	4143
97	448	4132
98	452	4121
99	456	4111
100	462	4114
101	466	4105
102	470	4096
103	474	4092
104	479	4087
105	482	4068
106	486	4057
107	488	4035
108	492	4028
109	496	4018
110	500	4009
111	504	3998
112	508	3992
113	514	3998
114	518	3988
115	522	3978
116	527	3984
117	531	3974
118	534	3958
119	538	3947
120	544	3954
121	548	3945
122	551	3935
123	555	3926
124	562	3934
125	566	3926
126	569	3916
127	575	3917
128	578	3909
129	582	3899
130	586	3890
131	591	3892
132	594	3877
133	598	3869
134	602	3861
135	606	3851
136	613	3866
137	618	3862
138	623	3862
139	627	3856
140	631	3848
141	635	3841
142	641	3842
143	646	3841
144	650	3835
145	654	3828
146	660	3833
147	664	3825
148	667	3813
149	672	3810
150	676	3805
151	681	3802
152	685	3794
153	690	3795
154	694	3787
155	698	3779
156	702	3771
157	707	3771
158	711	3764
159	715	3757
160	719	3751
161	724	3747
162	728	3741
163	732	3733
164	736	3727
165	740	3722
166	744	3715
167	748	3707
168	752	3701
169	756	3695
170	760	3688
171	764	3680
172	768	3673
173	773	3669
174	777	3663
175	781	3656
176	785	3650
177	789	3646
178	793	3639
179	797	3631
180	801	3626
181	806	3622
182	810	3617
183	814	3611
184	818	3607
185	823	3602
186	827	3595
187	830	3589
188	834	3582
189	838	3576
190	842	3569
191	846	3561
192	850	3558
193	855	3553
194	859	3547
195	863	3540
196	867	3536
197	871	3531
198	875	3525
199	878	3515
200	883	3511
201	888	3509
202	892	3503
203	896	3497
204	901	3495
205	908	3499
206	911	3493
207	915	3486
208	920	3483
209	924	3476
210	927	3469
211	932	3464
212	937	3465
213	941	3457
214	944	3450
215	949	3447
216	955	3447
217	959	3440
218	962	3433
219	968	3433
220	972	3427
221	976	3420
222	979	3412
223	986	3416
224	990	3411
225	994	3405
226	1000	3405
227	1004	3400
228	1007	3391
229	1011	3385
230	1016	3385
231	1020	3379
232	1024	3373
233	1029	3369
234	1033	3365
235	1037	3360
236	1041	3353
237	1045	3347
238	1052	3351
239	1056	3344
240	1060	3338
241	1065	3337
242	1069	3331
243	1073	3324
244	1076	3318
245	1082	3318
246	1086	3312
247	1090	3306
248	1094	3302
249	1099	3297
250	1103	3292
251	1107	3286
252	1111	3282
253	1115	3276
254	1119	3270
255	1122	3262
256	1126	3256
257	1134	3262
258	1138	3257
259	1142	3251
260	1147	3248
261	1151	3242
262	1154	3236
263	1158	3229
264	1164	3230
265	1168	3224
266	1172	3218
267	1176	3214
268	1181	3210
269	1185	3204
270	1189	3198
271	1193	3195
272	1198	3190
273	1202	3185
274	1205	3179
275	1210	3174
276	1214	3168
277	1219	3167
278	1223	3162
279	1229	3160
280	1233	3155
281	1236	3149
282	1240	3143
283	1246	3141
284	1250	3136
285	1253	3130
286	1257	3125
287	1263	3123
288	1267	3117
289	1271	3112
290	1276	3110
291	1281	3106
292	1285	3100
293	1289	3095
294	1297	3100
295	1302	3097
296	1306	3092
297	1312	3092
298	1316	3086
299	1320	3081
300	1326	3079
301	1331	3078
302	1335	3072
303	1339	3067
304	1345	3066
305	1349	3061
306	1353	3056
307	1359	3054
308	1363	3048
309	1366	3042
310	1370	3036
311	1375	3032
312	1379	3027
313	1382	3020
314	1386	3014
315	1391	3012
316	1395	3007
317	1399	3001
318	1402	2995
319	1408	2993
320	1412	2988
321	1416	2983
322	1420	2977
323	1426	2975
324	1430	2970
325	1434	2965
326	1438	2961
327	1443	2956
328	1447	2951
329	1450	2945
330	1455	2940
331	1459	2936
332	1463	2931
333	1467	2925
334	1471	2920
335	1475	2915
336	1479	2911
337	1483	2905
338	1487	2901
339	1493	2899
340	1497	2894
341	1501	2888
342	1506	2885
343	1510	2881
344	1514	2875
345	1518	2870
346	1523	2867
347	1527	2862
348	1532	2857
349	1536	2853
350	1543	2853
351	1547	2848
352	1551	2842
353	1555	2839
354	1559	2834
355	1563	2829
356	1568	2824
357	1573	2822
358	1577	2817
359	1581	2811
360	1586	2807
361	1590	2802
362	1594	2797
363	1598	2792
364	1603	2788
365	1607	2784
366	1611	2779
367	1615	2774
368	1619	2769
369	1625	2768
370	1629	2763
