iter	Passed	Remaining
0	3	3928
1	11	5760
2	16	5415
3	20	5047
4	25	5093
5	30	4971
6	34	4823
7	37	4691
8	42	4632
9	47	4667
10	51	4650
11	56	4614
12	61	4683
13	66	4665
14	71	4702
15	78	4808
16	82	4797
17	87	4785
18	92	4798
19	97	4762
20	101	4716
21	103	4611
22	110	4677
23	113	4632
24	117	4597
25	122	4597
26	126	4563
27	130	4532
28	134	4501
29	139	4508
30	143	4491
31	148	4485
32	152	4457
33	156	4456
34	159	4392
35	163	4365
36	166	4339
37	170	4326
38	174	4301
39	178	4283
40	182	4264
41	183	4191
42	186	4145
43	190	4136
44	193	4116
45	197	4104
46	201	4080
47	206	4102
48	210	4089
49	213	4065
50	217	4047
51	221	4046
52	226	4043
53	232	4066
54	237	4074
55	243	4096
56	246	4084
57	250	4074
58	256	4084
59	259	4068
60	263	4062
61	268	4060
62	271	4044
63	275	4029
64	279	4020
65	283	4007
66	287	4001
67	290	3987
68	294	3977
69	298	3971
70	304	3986
71	308	3976
72	312	3973
73	318	3987
74	324	4002
75	328	3992
76	335	4017
77	339	4011
78	342	3996
79	346	3987
80	351	3987
81	355	3981
82	361	3994
83	365	3984
84	369	3980
85	374	3976
86	378	3967
87	382	3959
88	386	3955
89	390	3950
90	394	3943
91	399	3945
92	403	3936
93	407	3927
94	411	3920
95	414	3902
96	420	3914
97	424	3903
98	428	3895
99	433	3897
100	436	3888
101	440	3879
102	444	3871
103	449	3874
104	453	3866
105	457	3858
106	461	3850
107	466	3852
108	470	3843
109	474	3835
110	477	3827
111	483	3830
112	486	3820
113	492	3829
114	500	3849
115	504	3843
116	509	3847
117	514	3848
118	518	3837
119	522	3829
120	526	3822
121	530	3816
122	533	3807
123	537	3800
124	542	3794
125	546	3788
126	551	3787
127	554	3778
128	561	3788
129	566	3790
130	571	3791
131	575	3783
132	579	3776
133	584	3775
134	587	3761
135	590	3754
136	594	3747
137	598	3740
138	602	3734
139	608	3735
140	611	3728
141	615	3721
142	619	3714
143	623	3707
144	627	3700
145	631	3693
146	635	3687
147	639	3680
148	643	3674
149	647	3667
150	651	3660
151	654	3654
152	658	3646
153	662	3640
154	666	3634
155	670	3627
156	674	3621
157	679	3621
158	683	3614
159	687	3607
160	693	3612
161	699	3617
162	705	3620
163	708	3613
164	712	3607
165	719	3616
166	723	3610
167	727	3603
168	731	3598
169	735	3591
170	741	3594
171	745	3588
172	750	3586
173	754	3580
174	758	3574
175	762	3568
176	765	3561
177	770	3555
178	773	3549
179	777	3543
180	781	3537
181	785	3531
182	789	3526
183	793	3519
184	797	3513
185	801	3508
186	806	3504
187	811	3505
188	817	3509
189	821	3500
190	827	3503
191	831	3498
192	837	3500
193	842	3498
194	848	3500
195	851	3494
196	855	3488
197	859	3482
198	862	3472
199	866	3466
200	870	3460
201	874	3454
202	878	3448
203	884	3449
204	887	3443
205	891	3437
206	894	3427
207	898	3422
208	902	3416
209	906	3410
210	910	3404
211	914	3399
212	918	3394
213	922	3388
214	926	3381
215	930	3376
216	933	3368
217	937	3361
218	940	3355
219	944	3350
220	948	3344
221	952	3339
222	956	3333
223	960	3327
224	964	3322
225	968	3316
226	972	3311
227	976	3306
228	980	3302
229	985	3299
230	989	3295
231	994	3291
232	998	3285
233	1001	3279
234	1005	3274
235	1009	3269
236	1013	3263
237	1017	3258
238	1021	3252
239	1025	3247
240	1029	3242
241	1033	3237
242	1039	3237
243	1043	3232
244	1047	3226
245	1051	3223
246	1057	3223
247	1062	3221
248	1066	3217
249	1070	3212
250	1074	3206
251	1078	3201
252	1082	3195
253	1088	3196
254	1092	3191
255	1096	3186
256	1100	3180
257	1104	3175
258	1108	3170
259	1112	3165
260	1115	3159
261	1119	3154
262	1126	3155
263	1130	3150
264	1133	3144
265	1137	3139
266	1141	3134
267	1145	3129
268	1149	3124
269	1153	3118
270	1157	3113
271	1161	3107
272	1164	3100
273	1167	3094
274	1171	3089
275	1175	3084
276	1182	3087
277	1186	3082
278	1190	3077
279	1194	3071
280	1198	3066
281	1202	3061
282	1206	3056
283	1210	3051
284	1214	3046
285	1218	3041
286	1222	3035
287	1228	3036
288	1233	3035
289	1237	3030
290	1244	3031
291	1247	3025
292	1251	3020
293	1257	3019
294	1261	3015
295	1265	3009
296	1269	3004
297	1273	2999
298	1277	2994
299	1281	2989
300	1285	2984
301	1288	2979
302	1292	2973
303	1296	2968
304	1301	2965
305	1306	2963
306	1311	2960
307	1315	2956
308	1319	2950
309	1323	2945
310	1327	2941
311	1333	2940
312	1337	2935
313	1340	2928
314	1343	2921
315	1346	2915
316	1351	2910
317	1356	2910
318	1360	2905
319	1364	2899
320	1370	2899
321	1374	2895
322	1378	2889
323	1382	2884
324	1386	2879
325	1390	2874
326	1394	2870
327	1398	2865
328	1401	2857
329	1405	2852
330	1409	2847
331	1412	2842
332	1416	2837
333	1420	2832
334	1424	2827
335	1428	2822
336	1432	2817
337	1435	2811
338	1439	2806
339	1443	2801
340	1448	2798
341	1452	2793
342	1456	2788
343	1459	2783
344	1463	2778
345	1469	2777
346	1473	2773
347	1477	2768
348	1481	2763
349	1485	2758
350	1489	2753
351	1493	2748
352	1497	2744
353	1501	2739
354	1504	2732
355	1508	2728
356	1512	2724
357	1516	2720
358	1520	2715
359	1524	2710
360	1528	2705
361	1532	2701
362	1536	2696
363	1543	2696
364	1547	2692
365	1552	2689
366	1555	2682
367	1559	2677
368	1563	2672
369	1566	2668
370	1570	2663
371	1576	2662
372	1581	2657
373	1586	2656
374	1590	2651
375	1594	2646
376	1600	2645
377	1604	2640
378	1608	2636
379	1614	2634
380	1618	2629
381	1622	2624
382	1626	2620
383	1630	2615
384	1634	2610
385	1638	2605
386	1641	2600
387	1645	2595
388	1649	2591
389	1653	2586
390	1657	2581
391	1661	2576
392	1665	2572
393	1669	2567
394	1673	2562
395	1677	2558
396	1681	2553
397	1685	2549
398	1688	2544
399	1692	2539
400	1696	2533
401	1699	2528
402	1703	2523
403	1707	2519
404	1711	2514
405	1716	2511
406	1720	2506
407	1724	2502
408	1728	2497
409	1732	2492
410	1736	2487
411	1740	2483
412	1744	2479
413	1747	2474
414	1751	2469
415	1755	2464
416	1761	2462
417	1765	2458
418	1769	2453
419	1773	2449
420	1777	2444
421	1781	2440
422	1785	2435
423	1788	2430
424	1792	2424
425	1796	2420
426	1800	2416
427	1804	2412
428	1808	2407
429	1812	2403
430	1816	2398
431	1820	2393
432	1824	2389
433	1828	2384
434	1832	2380
435	1837	2376
436	1841	2372
437	1847	2370
438	1853	2368
439	1857	2363
440	1861	2359
441	1865	2354
442	1869	2349
443	1872	2345
444	1876	2340
445	1880	2336
446	1884	2331
447	1888	2327
448	1892	2322
449	1899	2321
450	1903	2316
451	1907	2312
452	1911	2307
453	1918	2306
454	1922	2302
455	1926	2298
456	1930	2293
457	1936	2291
458	1942	2289
459	1952	2292
460	1956	2287
461	1961	2284
462	1967	2281
463	1970	2276
464	1976	2274
465	1982	2271
466	1986	2267
467	1990	2262
468	1998	2262
469	2002	2257
470	2006	2253
471	2014	2252
472	2018	2248
473	2022	2244
474	2027	2241
475	2032	2237
476	2039	2235
477	2045	2233
478	2050	2230
479	2054	2225
480	2060	2222
481	2065	2219
482	2069	2215
483	2075	2212
484	2080	2209
485	2084	2204
486	2088	2199
487	2095	2198
488	2099	2193
489	2103	2189
490	2111	2188
491	2124	2193
492	2130	2191
493	2134	2186
494	2138	2181
495	2145	2180
496	2149	2175
497	2153	2170
498	2157	2165
499	2160	2160
500	2164	2156
501	2168	2151
502	2172	2146
